pixel_x,pixel_y,lat_deg,lon_deg,origin_lat_deg,origin_lon_deg
959, 615, 30.394527, -88.901581, 30.394527, -88.901581
1247, 576, 30.394621, -88.901594, 30.394527, -88.901581
1056, 380, 30.394651, -88.901845, 30.394527, -88.901581
1048, 358, 30.394662, -88.901893, 30.394527, -88.901581
813, 323, 30.394559, -88.901978, 30.394527, -88.901581
564, 282, 30.394432, -88.902139, 30.394527, -88.901581
432, 340, 30.394361, -88.901964, 30.394527, -88.901581
268, 443, 30.394304, -88.901769, 30.394527, -88.901581
212, 500, 30.394299, -88.901702, 30.394527, -88.901581
281, 581, 30.394339, -88.901625, 30.394527, -88.901581
